,id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
3587,17400000,67868446,CENTRAL & WESTERN,22.284570000000002,114.15053,Entire home/apt,767,1,48,1,0
3588,17408368,26829161,CENTRAL & WESTERN,22.2839,114.15193000000001,Private room,900,2,32,1,93
3589,17411357,117729605,YAU TSIM MONG,22.306910000000002,114.1655,Private room,282,1,82,10,356
3591,17413445,117729605,YAU TSIM MONG,22.30761,114.16613999999998,Private room,282,1,96,10,325
3592,17413658,108763597,CENTRAL & WESTERN,22.28001,114.15183,Entire home/apt,947,1,0,2,0
3594,17416779,50353207,CENTRAL & WESTERN,22.28514,114.14083000000001,Private room,164,1,19,2,179
3595,17423224,117729605,YAU TSIM MONG,22.30625,114.16651,Private room,282,1,95,10,365
3596,17423489,117729605,YAU TSIM MONG,22.30759,114.16552,Private room,282,1,98,10,357
3597,17424890,117872865,YAU TSIM MONG,22.30326,114.17399999999999,Entire home/apt,649,1,23,1,1
3598,17428961,941407,CENTRAL & WESTERN,22.28314,114.12663,Entire home/apt,751,2,17,1,218
3599,17440365,99422506,CENTRAL & WESTERN,22.28578,114.1432,Private room,587,1,13,2,10
3600,17450850,118130777,WAN CHAI,22.27516,114.17253000000001,Private room,1400,1,0,1,83
3601,17450894,100012836,CENTRAL & WESTERN,22.288729999999997,114.14613,Entire home/apt,798,3,20,1,0
3603,17452567,3689359,CENTRAL & WESTERN,22.285970000000002,114.14206000000001,Entire home/apt,516,30,0,1,0
3605,17463704,117729605,YAU TSIM MONG,22.30784,114.16474,Private room,282,1,112,10,339
3606,17465218,117729605,YAU TSIM MONG,22.30666,114.16686000000001,Private room,282,1,67,10,363
3607,17465271,117729605,YAU TSIM MONG,22.30629,114.16623999999999,Private room,289,1,63,10,364
3608,17465334,117729605,YAU TSIM MONG,22.30823,114.16498,Private room,282,1,67,10,352
3609,17465363,24358640,YAU TSIM MONG,22.31616,114.16888,Private room,305,2,16,39,361
3610,17465408,117729605,YAU TSIM MONG,22.308000000000003,114.16553,Private room,282,1,85,10,321
3611,17465472,117729605,YAU TSIM MONG,22.30667,114.16533000000001,Private room,282,1,100,10,357
3612,17465629,24358640,YAU TSIM MONG,22.3175,114.16888,Private room,305,1,56,39,357
3613,17465825,24358640,YAU TSIM MONG,22.31798,114.16875,Private room,305,1,18,39,364
3614,17466973,38038584,YAU TSIM MONG,22.31859,114.17222,Private room,250,3,14,15,29
3616,17471979,24358640,YAU TSIM MONG,22.31619,114.16982,Private room,360,1,80,39,316
3617,17472198,24358640,YAU TSIM MONG,22.317870000000003,114.16942,Private room,321,1,71,39,354
3618,17472436,24358640,YAU TSIM MONG,22.316329999999997,114.1691,Private room,509,1,30,39,363
3619,17481655,26508892,CENTRAL & WESTERN,22.27673,114.15306000000001,Entire home/apt,1502,2,5,1,0
3621,17501154,4584648,WAN CHAI,22.27694,114.18356000000001,Private room,235,30,0,80,365
3622,17503187,79611488,YAU TSIM MONG,22.32028,114.16833000000001,Entire home/apt,673,1,201,6,104
3623,17506383,21679220,YAU TSIM MONG,22.30545,114.16882,Private room,282,3,40,1,0
3624,17507902,24426458,CENTRAL & WESTERN,22.287770000000002,114.14261,Private room,6986,10,0,1,83
3626,17514930,31447860,YAU TSIM MONG,22.30422,114.16904,Private room,1299,1,64,1,303
